                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.097,                0.91593,                 1.2953,                0.62268,                0.49277,                0.55641,                0.38597,                 1.1601,                0.98889,                 1.3136,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.0923,                0.91589,                 1.2975,                0.62094,                0.48542,                0.54365,                0.37871,                 1.1625,                0.99965,                 1.3168,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.1245,                0.90998,                 1.2987,                0.59362,                 0.4905,                 0.5365,                0.37271,                 1.1725,                 1.0133,                 1.3192,               0.000307,               0.000307,               0.000307
                     38,                 1.0986,                0.89497,                 1.2889,                0.61357,                 0.4906,                0.54278,                0.37868,                 1.1505,                0.99435,                  1.311,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.0981,                0.90534,                 1.2928,                0.61391,                 0.4954,                 0.5515,                0.38037,                 1.1666,                      1,                 1.3158,              0.0002674,              0.0002674,              0.0002674
                     40,                  1.086,                0.89351,                 1.2867,                0.60626,                0.49716,                0.54701,                  0.381,                 1.1542,                0.99175,                 1.3155,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.0613,                0.81745,                 1.2766,                0.61679,                0.48797,                0.54513,                 0.3754,                 1.1847,                 1.0076,                 1.3324,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.0496,                0.80192,                 1.2698,                0.63068,                0.48834,                0.55682,                0.38556,                 1.1553,                0.98842,                 1.3143,               0.000208,               0.000208,               0.000208
                     43,                 1.0472,                0.79623,                 1.2676,                0.61996,                0.49041,                0.55105,                0.37988,                 1.1736,                0.99239,                 1.3223,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0503,                0.78625,                 1.2653,                0.64407,                0.47608,                0.55009,                0.38146,                 1.1602,                0.99739,                 1.3167,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.0401,                0.78437,                 1.2583,                0.63212,                0.48757,                0.54707,                0.37841,                 1.1585,                0.99926,                 1.3115,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.0312,                0.77002,                 1.2562,                0.60767,                0.50597,                0.55381,                0.38436,                 1.1638,                0.98207,                 1.3196,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0186,                0.76508,                 1.2486,                0.62605,                0.48954,                0.55018,                0.38391,                 1.1512,                0.98423,                 1.3083,               0.000109,               0.000109,               0.000109
                     48,                 1.0206,                0.76565,                 1.2489,                0.61587,                0.50731,                0.55526,                0.38658,                  1.144,                 0.9765,                  1.308,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.0232,                0.75946,                 1.2509,                0.61124,                0.49656,                0.54934,                0.38031,                 1.1616,                0.98268,                 1.3148,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.0248,                0.75747,                 1.2506,                 0.6265,                0.48865,                0.55232,                0.38305,                 1.1541,                0.97851,                 1.3113,               4.96e-05,               4.96e-05,               4.96e-05
